defined_meaning_id	GROUP_CONCAT(uw_expression.spelling SEPARATOR ',')
483	carbohydrate
484	carbon
485	carbonate
486	carbon cycle
487	carbonic acid gas,carbon dioxide
488	carbon dioxide tax,carbon tax
491	carcinogenicity
492	carcinogenicity test
493	carcinogen
494	cardiology
495	cardiovascular disease
496	Caribbean
497	carnivore
500	cartography
502	cash crop
503	catalysis
504	catalyst
505	catalytic converter
506	catastrophe
507	catchment area
510	cation
511	cattle
513	cave
514	cell
515	energy cell,cell,Galvanic cell,electrochemical cell
516	cellulose
518	cement
521	Central Africa
522	Central America
523	Central Asia
524	central government
526	centrifugation
527	cephalopod
528	ceramics
529	ceramics industry
530	cetacean
531	Chagas' disease
532	chain management
535	charcoal
538	chelicerate
539	chemical analysis
542	chemical engineering
547	chemical oceanography
549	chemical plant
554	chemical property
555	chemical reaction
557	chemical
561	chemical structure
562	chemical treatment
564	chemical waste
565	chemical weapon
566	chemisorption
567	chemistry
568	child
569	chimney
571	chiropteran
572	chloride
573	chlorinated hydrocarbon
574	chlorination
575	chlorine
576	vinyl chloride,chloroethylene
577	chlorofluorocarbon,CFC
579	partially halogenated chlorofluorohydrocarbon
580	chlorophenol
581	chlorophyll
582	chlorosis
584	chromatography
585	chromium
586	chrysophyta
587	church,church building
589	city
590	city center
592	civil air traffic
593	civil engineering
594	civilian protection
595	civil law
598	classification
599	clay
603	clean technology
604	climate
606	climate protection
608	climate type
609	climatic alteration
610	climatic change,climate change
613	climatic zone
614	climatology
615	climax
616	climbing plant
617	clinical symptom
618	cloning
621	garments,apparel,clothing
623	cloud
624	coagulation
625	coal
627	coal-fired power plant
628	coal gasification
629	coal liquefaction
630	coal mining
631	coal refining
632	coal technology
633	seaside,coast
638	coastal erosion
639	coastal fishing
641	coastal water
643	coastguard
644	coating
645	cobalt
646	cockroach
649	code
650	coelenterate
652	co-incineration
653	coke
654	cold
656	coliform bacterium
657	colloid
658	colloidal state
661	color,colour
662	combination effect
663	combined cycle-power station
665	combustibility
666	combustion engine
670	business law,commercial law
672	commercial traffic
673	commercial vehicle
677	communications
681	community-pays principle
682	commuter traffic
683	commuting
684	compaction
685	company policy
686	comparative law
687	comparative test
688	comparison
689	compensation
692	competition
693	economic competition
694	competitiveness
695	complex formation,complexing,complexation
696	complexing agent
698	compost
700	composting
702	compression
703	compressor
705	European Communities
706	concentration
707	concentration
708	concrete
710	condensation
711	electrical conductivity,conductivity
714	conflict of interest
715	congress
716	conifer
718	conservation
722	constitutional law
728	construction work
729	consultation
732	consumer group
734	consumer protection
736	consumption
738	container
739	containment
740	contaminated soil
741	contamination
742	continental shelf
744	contour farming
745	contract
746	contract cleaner
747	controlled burning
